,Filename,Label,ClassName
1,PermanentCrop/PermanentCrop_2401.tif,6,PermanentCrop
2,PermanentCrop/PermanentCrop_1006.tif,6,PermanentCrop
3,HerbaceousVegetation/HerbaceousVegetation_1025.tif,2,HerbaceousVegetation
4,SeaLake/SeaLake_1439.tif,9,SeaLake
5,River/River_1052.tif,8,River
6,Forest/Forest_2361.tif,1,Forest
7,HerbaceousVegetation/HerbaceousVegetation_244.tif,2,HerbaceousVegetation
8,Forest/Forest_1453.tif,1,Forest
9,AnnualCrop/AnnualCrop_2822.tif,0,AnnualCrop
10,Pasture/Pasture_370.tif,5,Pasture
11,AnnualCrop/AnnualCrop_912.tif,0,AnnualCrop
12,Highway/Highway_665.tif,3,Highway
13,HerbaceousVegetation/HerbaceousVegetation_2132.tif,2,HerbaceousVegetation
14,Highway/Highway_1716.tif,3,Highway
15,Highway/Highway_2085.tif,3,Highway
16,River/River_1929.tif,8,River
17,Residential/Residential_134.tif,7,Residential
18,Industrial/Industrial_300.tif,4,Industrial
19,HerbaceousVegetation/HerbaceousVegetation_34.tif,2,HerbaceousVegetation
20,Residential/Residential_422.tif,7,Residential
21,Pasture/Pasture_1080.tif,5,Pasture
22,Forest/Forest_399.tif,1,Forest
23,PermanentCrop/PermanentCrop_1414.tif,6,PermanentCrop
24,Residential/Residential_377.tif,7,Residential
25,Pasture/Pasture_1512.tif,5,Pasture
26,River/River_1395.tif,8,River
27,River/River_214.tif,8,River
28,PermanentCrop/PermanentCrop_2274.tif,6,PermanentCrop
29,Residential/Residential_2972.tif,7,Residential
30,River/River_1520.tif,8,River
31,AnnualCrop/AnnualCrop_32.tif,0,AnnualCrop
32,SeaLake/SeaLake_135.tif,9,SeaLake
33,HerbaceousVegetation/HerbaceousVegetation_1241.tif,2,HerbaceousVegetation
34,AnnualCrop/AnnualCrop_2444.tif,0,AnnualCrop
35,Residential/Residential_885.tif,7,Residential
36,HerbaceousVegetation/HerbaceousVegetation_628.tif,2,HerbaceousVegetation
37,Forest/Forest_1767.tif,1,Forest
38,AnnualCrop/AnnualCrop_927.tif,0,AnnualCrop
39,Highway/Highway_1419.tif,3,Highway
40,SeaLake/SeaLake_1527.tif,9,SeaLake
41,SeaLake/SeaLake_1231.tif,9,SeaLake
42,Residential/Residential_578.tif,7,Residential
43,Highway/Highway_726.tif,3,Highway
44,AnnualCrop/AnnualCrop_84.tif,0,AnnualCrop
45,SeaLake/SeaLake_811.tif,9,SeaLake
46,Industrial/Industrial_1507.tif,4,Industrial
47,SeaLake/Jakarta_000484.tif,9,SeaLake
48,Highway/Highway_2060.tif,3,Highway
49,Forest/Forest_5.tif,1,Forest
50,Residential/Residential_86.tif,7,Residential
51,HerbaceousVegetation/HerbaceousVegetation_1630.tif,2,HerbaceousVegetation
52,Highway/Highway_1144.tif,3,Highway
53,River/River_2001.tif,8,River
54,River/River_2266.tif,8,River
55,SeaLake/SeaLake_1347.tif,9,SeaLake
56,HerbaceousVegetation/HerbaceousVegetation_1683.tif,2,HerbaceousVegetation
57,AnnualCrop/AnnualCrop_1744.tif,0,AnnualCrop
58,SeaLake/SeaLake_2093.tif,9,SeaLake
59,Industrial/Industrial_2240.tif,4,Industrial
60,Forest/Forest_1481.tif,1,Forest
61,Highway/Highway_1438.tif,3,Highway
62,Highway/Highway_1327.tif,3,Highway
63,Residential/Residential_2206.tif,7,Residential
64,AnnualCrop/AnnualCrop_706.tif,0,AnnualCrop
65,Industrial/Industrial_1968.tif,4,Industrial
66,Forest/Forest_2891.tif,1,Forest
67,River/River_2442.tif,8,River
68,Industrial/Industrial_1062.tif,4,Industrial
69,Residential/Residential_2297.tif,7,Residential
70,Residential/Residential_2093.tif,7,Residential
71,Industrial/Industrial_1466.tif,4,Industrial
72,Residential/Residential_407.tif,7,Residential
73,AnnualCrop/AnnualCrop_767.tif,0,AnnualCrop
74,Residential/Residential_840.tif,7,Residential
75,Forest/Forest_2577.tif,1,Forest
76,PermanentCrop/PermanentCrop_84.tif,6,PermanentCrop
77,Industrial/Industrial_1160.tif,4,Industrial
78,Industrial/Industrial_420.tif,4,Industrial
79,SeaLake/SeaLake_2746.tif,9,SeaLake
80,SeaLake/SeaLake_1051.tif,9,SeaLake
81,Residential/Residential_2160.tif,7,Residential
82,Highway/Highway_328.tif,3,Highway
83,Highway/Highway_2390.tif,3,Highway
84,PermanentCrop/PermanentCrop_77.tif,6,PermanentCrop
85,Industrial/Industrial_2350.tif,4,Industrial
86,Forest/Forest_591.tif,1,Forest
87,AnnualCrop/AnnualCrop_2062.tif,0,AnnualCrop
88,Forest/Forest_2556.tif,1,Forest
89,Industrial/Industrial_1657.tif,4,Industrial
90,HerbaceousVegetation/HerbaceousVegetation_2493.tif,2,HerbaceousVegetation
91,Pasture/Pasture_70.tif,5,Pasture
92,Industrial/Industrial_947.tif,4,Industrial
93,Industrial/Industrial_569.tif,4,Industrial
94,Forest/Forest_1881.tif,1,Forest
95,PermanentCrop/PermanentCrop_2110.tif,6,PermanentCrop
96,Forest/Forest_2967.tif,1,Forest
97,River/River_1797.tif,8,River
98,Forest/Forest_615.tif,1,Forest
99,HerbaceousVegetation/HerbaceousVegetation_1741.tif,2,HerbaceousVegetation
100,Industrial/Industrial_2362.tif,4,Industrial
101,River/River_2409.tif,8,River
102,Pasture/Pasture_1658.tif,5,Pasture
103,SeaLake/Jakarta_000380.tif,9,SeaLake
104,PermanentCrop/PermanentCrop_2393.tif,6,PermanentCrop
105,Residential/Residential_72.tif,7,Residential
106,PermanentCrop/PermanentCrop_1601.tif,6,PermanentCrop
107,Residential/Residential_1259.tif,7,Residential
108,Residential/Residential_1034.tif,7,Residential
109,Forest/Forest_1129.tif,1,Forest
110,River/River_765.tif,8,River
111,Pasture/Pasture_177.tif,5,Pasture
112,Highway/Highway_279.tif,3,Highway
113,SeaLake/SeaLake_598.tif,9,SeaLake
114,River/River_2103.tif,8,River
115,Pasture/Pasture_1665.tif,5,Pasture
116,SeaLake/SeaLake_7.tif,9,SeaLake
117,River/River_1128.tif,8,River
118,HerbaceousVegetation/HerbaceousVegetation_450.tif,2,HerbaceousVegetation
119,SeaLake/SeaLake_1576.tif,9,SeaLake
120,Industrial/Industrial_865.tif,4,Industrial
121,River/River_1558.tif,8,River
122,SeaLake/SeaLake_932.tif,9,SeaLake
123,SeaLake/SeaLake_1109.tif,9,SeaLake
124,Residential/Residential_2552.tif,7,Residential
